Categoria,SubCategoria,Modelo,Cor,Tamanho,Preço Custo Unit,Data Pedido,Pais,Estado,UF,Cidade,Região,Pedidos Qtd,Total Venda,ID_VENDA
Bicicletas,Bicicletas de estrada,Road-250,Preto,52,"1554,95",01/12/2018,Brasil,Rio Grande do Sul,RS,Dom Pedrito,Sul,1,"2181,56",72
Bicicletas,Bicicletas de montanha,Mountain-100,Preto,48,"1898,09",01/08/2017,Brasil,São Paulo,SP,Paulo de Faria,Sudeste,1,"3374,99",73
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,38,"1265,62",01/01/2019,Brasil,Rio Grande do Sul,RS,Linha Nova,Sul,1,"2071,42",74
Bicicletas,Bicicletas de estrada,Road-250,Vermelho,48,"1518,79",01/01/2019,Brasil,Rio Grande do Sul,RS,Vitória das Missões,Sul,1,"2443,35",75
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,38,"1251,98",01/02/2019,Brasil,Piauí,PI,José de Freitas,Norte,1,"2049,1",76
Bicicletas,Bicicletas de estrada,Road-250,Preto,48,"1554,95",01/02/2019,Brasil,Paraná,PR,Corumbataí do Sul,Sul,1,"2181,56",77
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,38,"1912,15",01/08/2017,Brasil,Rio Grande do Sul,RS,São José do Sul,Sul,1,"3399,99",78
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,42,"1912,15",01/08/2017,Brasil,Minas Gerais,MG,São João do Manteninha,Sudeste,1,"3399,99",79
Bicicletas,Bicicletas de estrada,Road-250,Vermelho,48,"1518,79",01/02/2019,Brasil,São Paulo,SP,Tupi Paulista,Sudeste,1,"2443,35",80
Bicicletas,Bicicletas de estrada,Road-650,Preto,58,"486,71",01/02/2019,Brasil,São Paulo,SP,Dirce Reis,Sudeste,1,"782,99",81
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,48,"1912,15",01/08/2017,Brasil,Goiás,GO,Santa Helena de Goiás,Centro-Oeste,1,"3399,99",82
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/08/2017,Brasil,Rio Grande do Sul,RS,Nova Roma do Sul,Sul,1,"3578,27",83
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,42,"1265,62",01/03/2019,Brasil,Paraná,PR,Porto Vitória,Sul,1,"2071,42",84
Bicicletas,Bicicletas de estrada,Road-250,Preto,52,"1554,95",01/04/2019,Brasil,Paraná,PR,Maria Helena,Sul,1,"2181,56",85
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,38,"1251,98",01/05/2019,Brasil,Bahia,BA,São Francisco do Conde,Nordeste,1,"2049,1",86
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/08/2017,Brasil,Tocantins,TO,Aparecida do Rio Negro,Norte,1,"3578,27",87
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,42,"1251,98",01/05/2019,Brasil,Ceará,CE,Caucaia,Nordeste,1,"2049,1",88
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,46,"1251,98",01/05/2019,Brasil,Bahia,BA,Vereda,Nordeste,1,"2049,1",89
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/08/2017,Brasil,São Paulo,SP,Buritizal,Sudeste,1,"3578,27",90
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/08/2017,Brasil,São Paulo,SP,Álvaro de Carvalho,Sudeste,1,"3578,27",91
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,38,"1265,62",01/05/2019,Brasil,São Paulo,SP,Ribeirão Preto,Sudeste,1,"2071,42",92
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/08/2017,Brasil,Rio Grande do Sul,RS,Toropi,Sul,1,"3578,27",93
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/08/2017,Brasil,Rio Grande do Sul,RS,Turuçu,Sul,1,"3578,27",94
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/08/2017,Brasil,Minas Gerais,MG,Itamonte,Sudeste,1,"3578,27",95
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,46,"1265,62",01/05/2019,Brasil,Alagoas,AL,São José da Tapera,Nordeste,1,"2071,42",96
Bicicletas,Bicicletas de estrada,Road-250,Preto,58,"1554,95",01/05/2019,Brasil,Piauí,PI,São Francisco de Assis do Piauí,Norte,1,"2181,56",97
Bicicletas,Bicicletas de montanha,Mountain-200,Prata,38,"1265,62",01/06/2019,Brasil,Bahia,BA,Pojuca,Nordeste,1,"2071,42",98
Bicicletas,Bicicletas de estrada,Road-250,Preto,58,"1554,95",01/06/2019,Brasil,Bahia,BA,Piatã,Nordeste,1,"2181,56",99
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/08/2017,Brasil,Bahia,BA,Rafael Jambeiro,Nordeste,1,"3578,27",100
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/08/2017,Brasil,Maranhão,MA,São Bento,Nordeste,1,"3578,27",101
Acessórios,Bicicletários,Hitch Rack - 4-Bike,,,"44,88",01/07/2019,Brasil,Maranhão,MA,Colinas,Nordeste,1,120,102
Acessórios,Garrafas e Gaiolas,Road Bottle Cage,,,"3,36",01/07/2019,Brasil,Rio Grande do Sul,RS,Capão do Cipó,Sul,1,"8,99",103
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/08/2017,Brasil,Minas Gerais,MG,Monjolos,Sudeste,1,"3578,27",104
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/08/2017,Brasil,Rio Grande do Sul,RS,Soledade,Sul,1,"3578,27",105
Acessórios,Pneus e Tubos,HL Road Tire,,,"12,19",01/07/2019,Brasil,Rio de Janeiro,RJ,Miguel Pereira,Sudeste,1,"32,6",106
Acessórios,Pneus e Tubos,Patch kit,,,"0,86",01/07/2019,Brasil,Paraíba,PB,Areia de Baraúnas,Nordeste,1,"2,29",107
Acessórios,Pneus e Tubos,Road Tire Tube,,,"1,49",01/07/2019,Brasil,Minas Gerais,MG,Tombos,Sudeste,1,"3,99",108
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/08/2017,Brasil,Rio Grande do Norte,RN,São Pedro,Nordeste,1,"3578,27",109
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/08/2017,Brasil,Santa Catarina,SC,Morro Grande,Sul,1,"3578,27",110
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/08/2017,Brasil,Sergipe,SE,Siriri,Nordeste,1,"3578,27",111
Bicicletas,Bicicletas de montanha,Mountain-200,Preto,46,"1251,98",01/07/2019,Brasil,Pernambuco,PE,Cortês,Nordeste,1,"2294,99",112
Bicicletas,Bicicletas de estrada,Road-250,Preto,44,"1554,95",01/07/2019,Brasil,São Paulo,SP,Natividade da Serra,Sudeste,1,"2443,35",113
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/08/2017,Brasil,Mato Grosso,MT,Rondonópolis,Centro-Oeste,1,"3578,27",114
Bicicletas,Bicicletas de estrada,Road-250,Preto,58,"1554,95",01/07/2019,Brasil,Mato Grosso,MT,Água Boa,Centro-Oeste,1,"2443,35",115
Bicicletas,Bicicletas de estrada,Road-350-W,Amarela,40,"1082,51",01/07/2019,Brasil,São Paulo,SP,Colômbia,Sudeste,1,"1700,99",116
Bicicletas,Bicicletas de estrada,Road-650,Preto,52,"486,71",01/08/2017,Brasil,Maranhão,MA,Lago Verde,Nordeste,1,"699,1",117
Acessórios,Pneus e Tubos,Patch kit,,,"0,86",01/08/2019,Brasil,Santa Catarina,SC,Caxambu do Sul,Sul,5,"11,45",118
Acessórios,Garrafas e Gaiolas,Road Bottle Cage,,,"3,36",01/08/2019,Brasil,Rio Grande do Norte,RN,Alto do Rodrigues,Nordeste,3,"26,97",119
Acessórios,Garrafas e Gaiolas,Water Bottle,,,"1,87",01/08/2019,Brasil,São Paulo,SP,Tupã,Sudeste,3,"14,97",120
Acessórios,Limpadores,Bike Wash,,,"2,97",01/08/2019,Brasil,São Paulo,SP,Leme,Sudeste,3,"23,85",121
Acessórios,Pneus e Tubos,ML Mountain Tire,,,"11,22",01/08/2019,Brasil,Mato Grosso,MT,Juína,Centro-Oeste,2,"59,98",122
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/09/2017,Brasil,Rio Grande do Sul,RS,Butiá,Sul,2,"7156,54",123
Acessórios,Pneus e Tubos,Mountain Tire Tube,,,"1,87",01/08/2019,Brasil,Sergipe,SE,Pinhão,Nordeste,2,"9,98",124
Bicicletas,Bicicletas de montanha,Mountain-100,Prata,42,"1912,15",01/09/2017,Brasil,Minas Gerais,MG,Bambuí,Sudeste,1,"3399,99",125
Acessórios,Pneus e Tubos,Road Tire Tube,,,"1,49",01/08/2019,Brasil,Minas Gerais,MG,Novo Cruzeiro,Sudeste,2,"7,98",126
Acessórios,Capacetes,Sport-100,Azul,,"13,09",01/08/2019,Brasil,Paraná,PR,Santa Terezinha de Itaipu,Sul,1,"34,99",127
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/09/2017,Brasil,Bahia,BA,Maragogipe,Nordeste,1,"3578,27",128
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/09/2017,Brasil,Piauí,PI,Regeneração,Norte,1,"3578,27",129
Acessórios,Capacetes,Sport-100,Vermelho,,"13,09",01/08/2019,Brasil,Alagoas,AL,Boca da Mata,Nordeste,1,"34,99",130
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/09/2017,Brasil,Tocantins,TO,São Miguel do Tocantins,Norte,1,"3578,27",131
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/09/2017,Brasil,Rio Grande do Norte,RN,Riachuelo,Nordeste,1,"3578,27",132
Acessórios,Pacotes de hidratação,Hydration Pack,Prata,70,"20,57",01/08/2019,Brasil,Santa Catarina,SC,Praia Grande,Sul,1,"54,99",133
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,44,"2171,29",01/09/2017,Brasil,Minas Gerais,MG,Guaxupé,Sudeste,1,"3578,27",134
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/09/2017,Brasil,Minas Gerais,MG,Onça de Pitangui,Sudeste,1,"3578,27",135
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/09/2017,Brasil,Minas Gerais,MG,São Francisco de Paula,Sudeste,1,"3578,27",136
Acessórios,Pneus e Tubos,HL Mountain Tire,,,"13,09",01/08/2019,Brasil,Minas Gerais,MG,São Joaquim de Bicas,Sudeste,1,35,137
Acessórios,Pneus e Tubos,ML Road Tire,,,"9,35",01/08/2019,Brasil,São Paulo,SP,Pongaí,Sudeste,1,"24,99",138
Acessórios,Pneus e Tubos,Touring Tire Tube,,,"1,87",01/08/2019,Brasil,Ceará,CE,Banabuiú,Nordeste,1,"4,99",139
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/09/2017,Brasil,Sergipe,SE,Santa Rosa de Lima,Nordeste,1,"3578,27",140
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/09/2017,Brasil,Minas Gerais,MG,Pedrinópolis,Sudeste,1,"3578,27",141
Bicicletas,Bicicletas de estrada,Road-250,Preto,48,"1554,95",01/08/2019,Brasil,Minas Gerais,MG,Iraí de Minas,Sudeste,1,"2443,35",142
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/09/2017,Brasil,Espírito Santo,ES,Serra,Sudeste,1,"3578,27",143
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,48,"2171,29",01/09/2017,Brasil,São Paulo,SP,Hortolândia,Sudeste,1,"3578,27",144
Bicicletas,Bikes em turnê,Touring-1000,Azul,46,"1481,94",01/08/2019,Brasil,Rio Grande do Sul,RS,Cachoeirinha,Sul,1,"2384,07",145
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/09/2017,Brasil,Rio Grande do Norte,RN,Lagoa d'Anta,Nordeste,1,"3578,27",146
Bicicletas,Bikes em turnê,Touring-2000,Azul,50,"755,15",01/08/2019,Brasil,Rio Grande do Sul,RS,Ivorá,Sul,1,"1214,85",147
Roupas,Meias,Racing Socks,Branca,Grande,"3,36",01/08/2019,Brasil,Bahia,BA,Jeremoabo,Nordeste,1,"8,99",148
Acessórios,Pneus e Tubos,Patch kit,,,"0,86",01/09/2019,Brasil,Rio Grande do Sul,RS,Barra Funda,Sul,5,"11,45",149
Acessórios,Limpadores,Bike Wash,,,"2,97",01/09/2019,Brasil,Bahia,BA,Rio do Antônio,Nordeste,2,"15,9",150
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/09/2017,Brasil,Minas Gerais,MG,Várzea da Palma,Sudeste,1,"3578,27",151
Acessórios,Pára-lamas,Fender Set - Mountain,,,"8,22",01/09/2019,Brasil,Bahia,BA,Capela do Alto Alegre,Nordeste,2,"43,96",152
Acessórios,Capacetes,Sport-100,Preto,,"13,09",01/09/2019,Brasil,Minas Gerais,MG,Guaraciaba,Sudeste,2,"69,98",153
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,52,"2171,29",01/09/2017,Brasil,Pernambuco,PE,Vitória de Santo Antão,Nordeste,1,"3578,27",154
Acessórios,Pneus e Tubos,Touring Tire Tube,,,"1,87",01/09/2019,Brasil,Alagoas,AL,Penedo,Nordeste,2,"9,98",155
Acessórios,Suportes De Bicicleta,All-Purpose Bike Stand,,,"59,47",01/09/2019,Brasil,Bahia,BA,Pé de Serra,Nordeste,1,159,156
Acessórios,Garrafas e Gaiolas,Road Bottle Cage,,,"3,36",01/09/2019,Brasil,Minas Gerais,MG,Centralina,Sudeste,1,"8,99",157
Acessórios,Garrafas e Gaiolas,Water Bottle,,,"1,87",01/09/2019,Brasil,Santa Catarina,SC,Descanso,Sul,1,"4,99",158
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/09/2017,Brasil,Rio Grande do Sul,RS,Erebango,Sul,1,"3578,27",159
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,56,"2171,29",01/09/2017,Brasil,Minas Gerais,MG,Aricanduva,Sudeste,1,"3578,27",160
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/09/2017,Brasil,Pernambuco,PE,Jatobá,Nordeste,1,"3578,27",161
Acessórios,Capacetes,Sport-100,Vermelho,,"13,09",01/09/2019,Brasil,Minas Gerais,MG,Prudente de Morais,Sudeste,1,"34,99",162
Acessórios,Pneus e Tubos,HL Mountain Tire,,,"13,09",01/09/2019,Brasil,São Paulo,SP,Santa Albertina,Sudeste,1,35,163
Acessórios,Pneus e Tubos,HL Road Tire,,,"12,19",01/09/2019,Brasil,Sergipe,SE,Pedrinhas,Nordeste,1,"32,6",164
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/09/2017,Brasil,Rio Grande do Sul,RS,Sertão,Sul,1,"3578,27",165
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/09/2017,Brasil,Pernambuco,PE,Vicência,Nordeste,1,"3578,27",166
Acessórios,Pneus e Tubos,LL Road Tire,,,"8,04",01/09/2019,Brasil,Rio Grande do Sul,RS,Mormaço,Sul,1,"21,49",167
Acessórios,Pneus e Tubos,ML Road Tire,,,"9,35",01/09/2019,Brasil,São Paulo,SP,Mauá,Sudeste,1,"24,99",168
Bicicletas,Bicicletas de estrada,Road-150,Vermelho,62,"2171,29",01/09/2017,Brasil,Paraíba,PB,Esperança,Nordeste,1,"3578,27",169
Acessórios,Pneus e Tubos,Mountain Tire Tube,,,"1,87",01/09/2019,Brasil,Pernambuco,PE,Garanhuns,Nordeste,1,"4,99",170
